ISIN,Description,Maturity Date
INE871D07NG7,INFRASTRUCTURE LEASING & FINANCIAL SERVICES LTD SR-II B OP-I 9.9 NCD 13FB21 FVRS1000 - Defaulted in Redemption,13-02-2021
INE059B07062,SIMPLEX INFRASTRUCTURES LIMITED SR-IV 11.25 LOA 11MR21 FVRS10LAC - Defaulted in Redemption,11-03-2021
INE429C07040,SINTEX INDUSTRIES LIMITED SR-I 10.7 NCD 11JU21 FVRS10LAC - Defaulted in Redemption,11-06-2021
INE121H07AB6,IL&FS FINANCIAL SERVICES LIMITED SR-I 9.5 NCD 03JL19 FVRS1000 - Defaulted in Redemption,03-07-2019
INE891A07011,D S KULKARNI DEVELOPERS LTD. OPT I 12.5 NCD 06SP17 FVRS5000 - Defaulted in Redemption,06-09-2017
INE891A07037,D S KULKARNI DEVELOPERS LTD. OPT II NCD 06MR20 FVRS5000 - Defaulted in Redemption,06-03-2020
INE013A07G11,RELIANCE CAPITAL LIMITED SR-307 9.7 NCD 16OT19 FVRS10LAC - Defaulted in Redemption,16-10-2019
INE217K07281,RELIANCE HOME FINANCE LIMITED SR-B-30 9.75 LOA 16OT19 FVRS5LAC - Defaulted in Redemption,16-10-2019
INE202B07CL2,DEWAN HOUSING FINANCE CORPORATION LIMITED SR-12 (TR-71) 9.75 NCD 18NV19 FVRS10LAC - Defaulted in Redemption,18-11-2019
INE847R07017,SKIL SHIPYARD HOLDINGS PRIVATE LIMITED SR-I 14 NCD 21JN19 FVRS3304545 - Defaulted in Redemption,21-01-2019
INE812R07011,THREE C GREEN DEVELOPERS PVT. LTD. 19 NCD 08JL18 FVRS70000 - Defaulted in Redemption,08-07-2018
INE059B07120,SIMPLEX INFRASTRUCTURES LIMITED SR-VI-B RR LOA 22JN20 FVRS10LAC - Defaulted in Redemption,22-01-2020
INE274Q07016,ASHVI DEVELOPERS PRIVATE LIMITED SR I PART I 20 LOA 21AG18 FVRS1LAC - Defaulted in Redemption,21-08-2018
INE217K07315,RELIANCE HOME FINANCE LIMITED SR-B-32 9.05 LOA 26MR20 FVRS5LAC - Defaulted in Redemption,26-03-2020
INE675N07078,JAI MAHARASHTRA NAGAR DEVELOPMENT PRIVATE LTD SR-B NCD 16MR16 FVRS780000 - Defaulted in Redemption,16-03-2016
INE202B07EN4,DEWAN HOUSING FINANCE CORPORATION LIMITED SR-14 (TR-26) 9.3 NCD 28AP20 FVRS10LAC - Defaulted in Redemption,28-04-2020
INE202B07EQ7,DEWAN HOUSING FINANCE CORPORATION LIMITED SR-14 (TR-29) 9.5 NCD 20MY20 FVRS10LAC - Defaulted in Redemption,20-05-2020
INE202B07ER5,DEWAN HOUSING FINANCE CORPORATION LIMITED SR-14 (TR-30) 9.5 NCD 21MY20 FVRS10LAC - Defaulted in Redemption,21-05-2020
INE740L07017,PASHMINA REALTY PRIVATE LIMITED RR NCD 16AP19 FVRS10LAC - Defaulted in Redemption,16-04-2019
INE496S07011,ORISSA STEVEDORES LIMITED 14 LOA 15JU20 FVRS10LAC - Defaulted in Redemption,15-06-2020
INE059B07138,SIMPLEX INFRASTRUCTURES LIMITED SR-VII-A 11.25 LOA 17JU20 FVRS10LAC - Defaulted in Redemption,17-06-2020
INE013A07O03,RELIANCE CAPITAL LIMITED SR- 328 9.12 NCD 29JU20 FVRS10LAC - Defaulted in Redemption,29-06-2020
INE202B07FH3,DEWAN HOUSING FINANCE CORPORATION LIMITED SR-14 (TR-45) 9.5 NCD 03JL20 FVRS10LAC - Defaulted in Redemption,03-07-2020
INE061O07020,SHAMBHAVI REALTY PRIVATE LIMITED 18 NCD 30JU19 FVRS1LAC - Defaulted in Redemption,30-06-2019
INE021T07015,UNISHIRE URBANSCAPE PRIVATE LIMITED RR NCD 31MR19 FVRS10LAC - Defaulted in Redemption,31-03-2019
INE202B07FI1,DEWAN HOUSING FINANCE CORPORATION LIMITED SR-15 (TR-2) 9.5 NCD 08JL20 FVRS10LAC - Defaulted in Redemption,08-07-2020
INE202B07FO9,DEWAN HOUSING FINANCE CORPORATION LIMITED SR-15 (TR-8) 9.5 NCD 16JL20 FVRS10LAC - Defaulted in Redemption,16-07-2020
