Symbol,Underlying,Security Name, Date of Listing, Market Lot,ISIN Number, Face Value
ICICIB22,S&P BSE BHARAT 22 index,ICICIPRAMC - BHARATIWIN,28-Nov-17,1,INF109KB15Y7,10
LIQUIDETF,Nifty1D rate index,DSP BLACKROCK LIQUID ETF,20-Mar-18,1,INF740KA1EU7,1000
ICICI500,S&P BSE 500 index,ICICIPRAMC - ICICI500,16-May-18,1,INF109KC1CZ3,10
ICICINXT50,Nifty Next 50,ICICIPRAMC - ICICINXT50,30-Aug-18,1,INF109KC1JI4,10
ICICILIQ,S&P BSE Liquid Rate Index.,ICICIPRAMC - ICICILIQ,26-Sep-18,1,INF109KC1KT9,1000
MAN50ETF,Nifty 50,MIRAEAMC - MAN50ETF,26-Nov-18,1,INF769K01EG9,100
SBIETFQLTY,Nifty 200 Quality 30 Index,SBIAMC - SBIETFQLTY,17-Dec-18,1,INF200KA1WX6,10
ABSLNN50ET,Nifty Next 50,BIRLASLAMC - ABSLNN50ET,21-Dec-18,1,INF209KB1B87,10
NETF,Nifty 50,TATAAML - NETF,4-Jan-19,1,INF277K015R5,10
NETFMID150,Nifty Midcap 150,NI I ETF NIFTY MIDCAP 150,4-Feb-19,1,INF204KB1V68,10
UTISXN50,BSE Sensex Next 50,UTIAMC - UTISXN50,13-Mar-19,1,INF789F1AHR6,10
IBMFNIFTY,Nifty 50,IBULLSAMC - IBMFNIFTY,8-May-19,1,INF666M01FS5,10
ICICIBANKN,Nifty Bank Index,ICICIPRAMC - IPRU5008,15-Jul-19,1,INF109KC1E27,10
ICICIBANKP,Nifty Private Bank Index,ICICIPRAMC - ICICIBANKP,14-Aug-19,1,INF109KC1E35,10
NPBET,Nifty Private Bank Index,TATAAML - NPBET,9-Sep-19,1,INF277K010X4,10
ABSLBANETF,Nifty Bank,BIRLASLAMC - ABSLBANETF,30-Oct-19,1,INF209KB1O58,10
EBBETF0423,Nifty BHARAT Bond,EDELAMC - EBBETF0423,2-Jan-20,1,INF754K01KN4,1000
EBBETF0430,Nifty BHARAT Bond,EDELAMC - EBBETF0430,2-Jan-20,1,INF754K01KO2,1000
ICICIM150,Nifty Midcap 150,ICICIPRAMC - ICICIM150,28-Jan-20,1,INF109KC1G82,10
MANXT50,Nifty Next 50,MIRAEAMC - MANXT50,30-Jan-20,1,INF769K01FN2,275
NETFIT,Nifty IT,RELCAPAMC NETFIT,1-Jul-20,1,INF204KB15V2,10
AXISBNKETF,Nifty Bank,AXISAMC - AXISBNKETF,9-Nov-20,1,INF846K01X63,100
AXISBPSETF,Nifty AAA Bond Plus SDL Apr 2026 50:50 Index,AXISAMC - AXISBPSETF,18-May-21,1,INF846K01Z04,1
AXISHCETF,Nifty Healthcare Index,AXISAMC - AXISHCETF,21-May-21,1,INF846K01Z12,10
AXISTECETF,NIFTY IT Index,AXISAMC - AXISTECETF,31-Mar-21,1,INF846K01Y96,100
EBBETF0425,Nifty BHARAT Bond Index – April 2025,EDELAMC - EBBETF0425,29-Jul-20,1,INF754K01LD3,1000
EBBETF0431,Nifty BHARAT Bond Index – April 2031,EDELAMC - EBBETF0431,29-Jul-20,1,INF754K01LE1,1000
HBANKETF,NIFTY Bank Index,HDFCAMC - HBANKETF,28-Aug-20,1,INF179KC1AN8,223.31
ICICIALPLV,Nifty Alpha Low-Volatility 30 Index,ICICIPRAMC - ICICIALPLV,18-Aug-20,1,INF109KC1N59,10
ICICIPHARM,Nifty Healthcare Index,ICICIPRAMC - ICICIPHARM,25-May-21,1,INF109KC1Q72,10
ICICITECH,NIFTY IT Index,ICICIPRAMC - ICICITECH,20-Aug-20,1,INF109KC1N67,10
KOTAKIT,NIFTY IT Index,KOTAKMAMC - KOTAKIT,5-Mar-21,1,INF174KA1GC5,10
MAESGETF,Nifty100 ESG Sector Leaders Total Return Index,MIRAEAMC - MAESGETF,24-Nov-20,1,INF769K01GS9,17.5
MAFANG,NYSE FANG+ Total Return Index,MIRAEAMC - MAFANG,14-May-21,1,INF769K01HF4,40
MOGSEC,Nifty 5 yr Benchmark G-Sec Index,MOTILALAMC - G5,16-Dec-20,1,INF247L01AK4,10
MOM100,Nifty Midcap 100 Index,Motilal Os Midcap100 ETF,4-Feb-11,1,INF247L01023,10
MOM50,Nifty 50 Index,Motilal Oswal M50 ETF,30-Jul-10,1,INF247L01536,7
MON100,NASDAQ-100 Index,Motilal Os NASDAQ100 ETF,31-Mar-11,1,INF247L01AP3,1
NCPSESDL24,Nifty CPSE Bond Plus SDL Sep 2024 50:50 Index,NIPPON INDIA- NIMFXX,18-Nov-20,1,INF204KB18W4,10
NETFGILT5Y,Nifty 5 yr Benchmark G-Sec Index,RELCAPAMC - NETFGILT5Y,8-Apr-21,1,INF204KC1030,10
NETFSDL26,Nifty SDL Apr 2026 Top 20 Equal Weight Index,RELCAPAMC-NETFSDL26,31-Mar-21,1,INF204KC1022,10
SBIETFIT,Nifty IT Index,SBIAMC - SBIETFIT,22-Oct-20,1,INF200KA1S14,10
SBIETFPB,Nifty Private Bank Index,SBIAMC - SBIETFPB,22-Oct-20,1,INF200KA1S22,10
UTIBANKETF,Nifty Bank Index,UTIAMC - UTIBANKETF,3-Sep-20,1,INF789F1AUV1,1
